;Hommes 18-34;Hommes 35-54;Hommes 55-79;Femmes 18-34;Femmes 35-54;Femmes 55-79;Ensemble 18-35;Ensemble 35-54;Ensemble 55-79
AET (kcal/j);2590,3;2543,6;2414,9;1846,1;1885,7;1823,6;2142,0;2184,3;2152,9
Lipides (g/j);103,7;102,2;96,3;80,0;80,4;78,0;89,4;90,3;88,2
AGS (g/j);43,8;42,2;38,9;32,9;32,6;30,7;37,3;37,0;35,3
Protides (g/j);104,0;101,6;96,5;71,3;76,5;74,4;84,3;87,9;86,7
Glucides simples (g/j);120,9;101,3;90,7;89,3;91,7;86,3;101,9;96,1;88,7
Glucides totaux (g/j);286,8;266,8;244,7;201,9;202,2;192,3;235,7;231,5;221,5
Alcool (g/j);12,7;20,9;25,4;4,1;6,0;6,9;7,6;12,7;17,2
Fibres (g/j);17,4;19,3;20,1;13,5;16,5;17,8;15,1;17,8;19,0
